id,college_id,course_name,specialization,normalized_category,min_percentage,jee_percentile,,,,,,,,,,
121,23,B.Tech,Artificial Intelligence & Machine Learning,CSE_AI_ML,50,0,,,,,,,,,,
122,23,B.Tech,Big Data,DATA_SCIENCE,50,0,,,,,,,,,,
123,23,B.Tech,Biotechnology,BIOTECH,50,0,,,,,,,,,,
124,23,B.Tech,Internet of things,OTHER,50,0,,,,,,,,,,
125,23,B.Tech,Software Development,OTHER,50,0,,,,,,,,,,
126,24,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
127,24,B.Tech,Electronics & Computer Engineering,ELECTRONICS,50,0,,,,,,,,,,
128,24,B.Tech,Mechanical Engineering,MECHANICAL,50,0,,,,,,,,,,
129,25,B.Tech,Civil,CIVIL,50,0,,,,,,,,,,
130,25,B.Tech,EEE,ELECTRICAL,50,0,,,,,,,,,,
131,25,B.Tech,Industrial Engineering,OTHER,50,0,,,,,,,,,,
132,25,B.Tech,ECE,ELECTRONICS,50,0,,,,,,,,,,
133,25,B.Tech,Mechanical,MECHANICAL,50,0,,,,,,,,,,
134,25,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
135,25,B.Tech,Chemical,OTHER,50,0,,,,,,,,,,
136,25,B.Tech,Biotechnology,BIOTECH,50,0,,,,,,,,,,
137,25,B.Tech,Artificial Intelligence & Machine Learning,CSE_AI_ML,50,0,,,,,,,,,,
138,25,B.Tech,Data Science,DATA_SCIENCE,50,0,,,,,,,,,,
139,25,B.Tech,CSE (Data Science),DATA_SCIENCE,50,0,,,,,,,,,,
140,25,B.Tech,CSE (IoT & Cyber Security),CYBER_SECURITY,50,0,,,,,,,,,,
141,25,B.Tech,CS & Business Systems,OTHER,50,0,,,,,,,,,,
142,27,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
143,27,B.Tech,CSIT,CSE_CORE,50,0,,,,,,,,,,
144,27,B.Tech,Artificial Intelligence & Machine Learning,CSE_AI_ML,50,0,,,,,,,,,,
145,27,B.Tech,ECE,ELECTRONICS,50,0,,,,,,,,,,
146,27,B.Tech,Data Science,DATA_SCIENCE,50,0,,,,,,,,,,
147,27,B.Tech,Civil,CIVIL,50,0,,,,,,,,,,
148,27,B.Tech,Cyber Security,CYBER_SECURITY,50,0,,,,,,,,,,
149,27,B.Tech,EEE,ELECTRICAL,50,0,,,,,,,,,,
150,27,B.Tech,AI,OTHER,50,0,,,,,,,,,,
151,28,B.Tech,CSE AI,OTHER,50,0,,,,,,,,,,
152,28,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
153,28,B.Tech,Electrical & Computer Engineering,ELECTRICAL,50,0,,,,,,,,,,
