id,college_id,criteria_type,min_value,max_value,scholarship_percent,scholarship_type,stackable,priority
112,51,BOARD_PERCENTAGE,80,89.99,20,PERCENT,TRUE,3
113,51,BOARD_PERCENTAGE,70,79.99,15,PERCENT,TRUE,4
114,51,SPORTS,NATIONAL,NATIONAL,10,PERCENT,TRUE,5
115,51,NCC,A,A,10,PERCENT,TRUE,6
116,54,BOARD_PERCENTAGE,90,100,50,PERCENT,TRUE,1
117,54,BOARD_PERCENTAGE,80,89.99,30,PERCENT,TRUE,2
118,54,BOARD_PERCENTAGE,70,79.99,10,PERCENT,TRUE,3
119,55,BOARD_PERCENTAGE,80,100,60,PERCENT,TRUE,1
120,55,BOARD_PERCENTAGE,70,79.99,50,PERCENT,TRUE,2
121,55,BOARD_PERCENTAGE,60,69.99,40,PERCENT,TRUE,3
122,56,BOARD_PERCENTAGE,90,100,100,PERCENT,FALSE,3
123,56,BOARD_PERCENTAGE,80,89.99,50,PERCENT,TRUE,4
124,56,BOARD_PERCENTAGE,75,79.99,30,PERCENT,TRUE,5
125,56,BOARD_PERCENTAGE,70,74.99,20,PERCENT,TRUE,6
126,56,JEE_RANK,1,20000,100,PERCENT,TRUE,1
127,56,JEE_RANK,20001,30000,75,PERCENT,TRUE,2
128,56,SPORTS,INTERNATIONAL,INTERNATIONAL,75,PERCENT,TRUE,7
129,56,SPORTS,NATIONAL,NATIONAL,50,PERCENT,TRUE,8
130,58,BOARD_PERCENTAGE,92,100,100,PERCENT,TRUE,4
131,58,BOARD_PERCENTAGE,87,91.99,50,PERCENT,TRUE,5
132,58,BOARD_PERCENTAGE,80,86.99,25,PERCENT,TRUE,6
133,58,JEE_PERCENTILE,90,100,100,PERCENT,TRUE,1
134,58,JEE_PERCENTILE,80,89.99,50,PERCENT,TRUE,2
135,58,JEE_PERCENTILE,75,79.99,25,PERCENT,TRUE,3
136,58,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,7
137,58,SPORTS,NATIONAL,NATIONAL,50,PERCENT,TRUE,8
138,58,SPORTS,STATE,STATE,25,PERCENT,TRUE,9
139,59,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,1
140,60,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,1
141,61,BOARD_PERCENTAGE,95,100,40,PERCENT,TRUE,3
142,61,BOARD_PERCENTAGE,85,94.99,30,PERCENT,TRUE,4
143,61,BOARD_PERCENTAGE,75,84.99,20,PERCENT,TRUE,5
144,61,JEE_PERCENTILE,95,100,50,PERCENT,TRUE,1
145,61,JEE_PERCENTILE,90,94.99,25,PERCENT,TRUE,2
146,61,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,6
147,61,SPORTS,NATIONAL,NATIONAL,75,PERCENT,TRUE,7
148,61,SPORTS,STATE,STATE,60,PERCENT,TRUE,8
149,62,BOARD_PERCENTAGE,95,100,100,PERCENT,TRUE,4
150,62,BOARD_PERCENTAGE,90,94.99,50,PERCENT,TRUE,5
151,62,BOARD_PERCENTAGE,80,89.99,30,PERCENT,TRUE,6
152,62,BOARD_PERCENTAGE,60,79.99,10,PERCENT,TRUE,7
153,62,JEE_RANK,1,50000,100,PERCENT,TRUE,1
154,62,JEE_RANK,50001,100000,50,PERCENT,TRUE,2
155,62,JEE_RANK,100001,150000,25,PERCENT,TRUE,3
156,62,SPORTS,NATIONAL,NATIONAL,50,PERCENT,TRUE,8
157,63,BOARD_PERCENTAGE,90,100,100,PERCENT,TRUE,4
158,63,BOARD_PERCENTAGE,85,89.99,35,PERCENT,TRUE,5
159,63,JEE_PERCENTILE,95,100,100,PERCENT,TRUE,1
